spc_id,description,covered,test_file
SPC-007,"Ingest HMAC rejection and ScanRequest shape",COVERED,"IngestStageContractTest.java"
SPC-008,"ScanStarted event emitted after ingest",COVERED,"IngestStageContractTest.java"
SPC-010,"ParseIndex AST completeness",MISSING,""
SPC-011,"AnalysisDispatch parallel isolation",MISSING,""
SPC-012,"RankDedupe dedup key and ranking",MISSING,""
SPC-013,"Delivery fan-out to all targets",MISSING,""
SPC-031,"Finding schema compliance (FindingSchema v1)",COVERED,"FindingSchemaOracleTest.java"
SPC-042,"SEC-001 positive: inline secret detection",COVERED,"HardcodedCredentialContractTest.java"
SPC-043,"SEC-001 negative: @Value injection not flagged",COVERED,"HardcodedCredentialContractTest.java"
SPC-044,"SEC-002 positive: SQL injection via concatenation",COVERED,"SqlInjectionContractTest.java"
SPC-045,"SEC-002 negative: parameterised query",COVERED,"SqlInjectionContractTest.java"
SPC-046,"SEC-003 positive: weak JWT secret",COVERED,"JwtSecretContractTest.java"
SPC-047,"SEC-003 negative: strong JWT secret with expiry",COVERED,"JwtSecretContractTest.java"
SPC-048,"SEC-004 positive: missing @PreAuthorize",COVERED,"PreAuthorizeContractTest.java"
SPC-049,"SEC-004 negative: @PreAuthorize present",COVERED,"PreAuthorizeContractTest.java"
SPC-050,"SEC-012 Java 25 PEM-encoded key (JEP 470)",COVERED,"PemKeyContractTest.java"
SPC-070,"DEP-001 positive: CVE dependency",COVERED,"CveDependencyContractTest.java"
SPC-071,"DEP-001 negative: clean dependency",COVERED,"CveDependencyContractTest.java"
SPC-072,"DEP-005 javax.inject import flagged",COVERED,"JavaxInjectContractTest.java"
SPC-088,"RES-001 circuit breaker absence",COVERED,"CircuitBreakerContractTest.java"
SPC-089,"DAT-001 N+1 lazy fetch",COVERED,"NplusOneContractTest.java"
SPC-099,"OBS-001 trace propagation Feign",COVERED,"TracePropagationContractTest.java"
SPC-100,"OBS-002 log parameters positive/negative cases",COVERED,"LogParameterizationContractTest.java"
SPC-101,"RES-002 HTTP timeout configured",COVERED,"HttpTimeoutContractTest.java"
SPC-102,"RES-003 Kafka listener resilience",COVERED,"KafkaRetryContractTest.java"
SPC-103,"OBS-003 metrics rules",COVERED,"MetricNamingContractTest.java"
SPC-104,"API-005 Spring Boot 4 versioning",COVERED,"ManualUrlVersioningContractTest.java"
SPC-105,"CON-011 Structured concurrency safety",COVERED,"StructuredConcurrencyContractTest.java"
SPC-106,"API-001 exception handling bounds",COVERED,"Http500HandlerContractTest.java"
SPC-107,"API-002 Pageable boundaries",COVERED,"PageableBoundsContractTest.java"
SPC-108,"DAT-002 ORM readonly flush mode optimizations",COVERED,"TransactionReadOnlyContractTest.java"
SPC-109,"DES-001 Class boundaries",COVERED,"GodClassContractTest.java"
SPC-110,"MSG-001 Idempotent Producer",COVERED,"KafkaIdempotenceContractTest.java"
SPC-111,"MSG-008 KRaft ZooKeeper check",COVERED,"KRaftZooKeeperContractTest.java"
SPC-112,"CON-001 BlockHound equivalents",COVERED,"ReactorBlockingContractTest.java"
